item,score,abs_score
S61,0.41989457826090537,0.41989457826090537
S9,0.3562477046814303,0.3562477046814303
S28,0.355860158515408,0.355860158515408
S2,0.3476720314909022,0.3476720314909022
S34,0.33517544169001284,0.33517544169001284
S10,0.32898920805345105,0.32898920805345105
S85,0.32483733170967977,0.32483733170967977
S41,0.3224464128579799,0.3224464128579799
S51,0.31608401438715583,0.31608401438715583
S26,0.3143172958608236,0.3143172958608236
S30,0.31143712218161557,0.31143712218161557
S31,0.3104596781812641,0.3104596781812641
S68,0.30932742881989067,0.30932742881989067
S84,0.3075176780210779,0.3075176780210779
S46,0.3069838856744803,0.3069838856744803
S88,0.2942948379244123,0.2942948379244123
S18,0.292140007098206,0.292140007098206
S57,0.2878273545535395,0.2878273545535395
S70,0.2844598826780399,0.2844598826780399
S25,0.28170298919153586,0.28170298919153586
S79,0.2793781849783254,0.2793781849783254
S72,0.27728213705707705,0.27728213705707705
S29,0.2739543577851964,0.2739543577851964
S21,0.2726463897393805,0.2726463897393805
S66,0.2720852798598329,0.2720852798598329
S42,0.2705337519359447,0.2705337519359447
S65,0.26732798154393717,0.26732798154393717
S55,0.2659398497283435,0.2659398497283435
S6,0.26067200945495234,0.26067200945495234
S44,0.26032214258694175,0.26032214258694175
S40,0.2542743237807138,0.2542743237807138
S38,0.2502643268809166,0.2502643268809166
S82,0.24469330820947363,0.24469330820947363
S19,0.24367966881217612,0.24367966881217612
S86,0.23276668676325477,0.23276668676325477
S77,0.23202338944149004,0.23202338944149004
S45,0.2280726522420026,0.2280726522420026
S62,0.22764984423291246,0.22764984423291246
S59,0.22346233566314355,0.22346233566314355
S5,0.22083219887669628,0.22083219887669628
S54,0.21719890769124245,0.21719890769124245
S14,0.21664819070922103,0.21664819070922103
S56,0.2162998030069549,0.2162998030069549
S23,0.2161696453930116,0.2161696453930116
S76,0.21575360100369265,0.21575360100369265
S1,0.20970849017607895,0.20970849017607895
S43,0.20840824676744563,0.20840824676744563
S90,0.2030077192735705,0.2030077192735705
S63,0.20231479209207973,0.20231479209207973
S32,0.20157456996116713,0.20157456996116713
S11,0.19967867792491512,0.19967867792491512
S73,0.19954084582817344,0.19954084582817344
S36,0.1991082835703176,0.1991082835703176
S87,0.19860321337201414,0.19860321337201414
S71,0.19837491659875744,0.19837491659875744
S78,0.19656100972794277,0.19656100972794277
S83,0.19589271461248373,0.19589271461248373
S7,0.19325378811102073,0.19325378811102073
S75,0.19076498938188666,0.19076498938188666
S33,0.19005557916087662,0.19005557916087662
S47,0.18831533736579903,0.18831533736579903
S24,0.18781089842826554,0.18781089842826554
S3,0.18320877592350407,0.18320877592350407
S60,0.17496426745349727,0.17496426745349727
S53,0.16750042112145688,0.16750042112145688
S8,0.16495937233313968,0.16495937233313968
S67,0.16485950701208196,0.16485950701208196
S80,0.16464729970235453,0.16464729970235453
S50,0.1630673438939611,0.1630673438939611
S22,0.16015234917389393,0.16015234917389393
S69,0.1576358951666091,0.1576358951666091
S58,0.15256537390994682,0.15256537390994682
S74,0.1433806603448259,0.1433806603448259
S17,0.14166860545688229,0.14166860545688229
S35,0.13733573262932908,0.13733573262932908
S48,0.12639680901840586,0.12639680901840586
S27,0.12588581377217514,0.12588581377217514
S20,0.12531718423589858,0.12531718423589858
S49,0.1145507797071785,0.1145507797071785
S37,0.11259298158734847,0.11259298158734847
S64,0.11190363906841135,0.11190363906841135
S89,0.1109764603384443,0.1109764603384443
S39,0.10908650398608256,0.10908650398608256
S81,0.0951223741826898,0.0951223741826898
S15,0.09300119376141226,0.09300119376141226
S52,0.09213024840130239,0.09213024840130239
S4,0.0645040035383763,0.0645040035383763
S12,0.062413629951500536,0.062413629951500536
S16,0.047999070953445085,0.047999070953445085
S13,0.03219192729852569,0.03219192729852569
