metric,mean,std
n,2874.2,0.44721359549995787
positive_n,581.6,0.8944271909999159
prevalence,0.20235195304226802,0.00030486779908347225
roc_auc,0.9813410165883315,0.002622303541075829
pr_auc,0.9334003837660516,0.0074212787833126525
brier,0.05632908976162604,0.0019861806410934367
calibration_intercept,-1.3502431903522445,0.14352513770742825
calibration_slope,0.8950437717097598,0.048540213856465994
top5_recall,0.24724908115322525,0.0007193701588051404
top5_precision,0.9986111111111111,0.003105649968749697
top5_lift,4.935023220628138,0.014481119491286783
top10_recall,0.4876187978432397,0.001689982266514842
top10_precision,0.9874637049941928,0.003977541849875741
top10_lift,4.879918752674242,0.01320541018455253
top15_recall,0.6887984051845099,0.007500388718388857
top15_precision,0.9294663573085845,0.008773860975029702
top15_lift,4.5933745178365815,0.050030225084224986
top20_recall,0.8270274813144208,0.01960396992485132
top20_precision,0.8365217391304348,0.019943208593356028
top20_lift,4.133995527013984,0.09846325874447276
top25_recall,0.9250331827972481,0.008583580939670054
top25_precision,0.7490948043746926,0.007134069851131663
top25_lift,3.701935870290628,0.03427960957382677
top30_recall,0.9838351792952535,0.00397131674807458
top30_precision,0.6638051044083526,0.003322000246699835
top30_lift,3.2804395230492354,0.013177443125162882
