item,development_mean,development_sd,standardized_beta,raw_score_beta,lasso_bootstrap_top10_frequency,lasso_bootstrap_top15_frequency,lasso_bootstrap_top20_frequency,bootstrap_resamples,bootstrap_sample_size
S61,0.931492936940264,1.0948536145030723,0.8778110211335869,0.8017610843181115,0.363,0.461,0.537,1000.0,800.0
S9,1.1818853291478164,1.0754770570958987,0.4394735045350696,0.4086312224286551,0.108,0.173,0.224,1000.0,800.0
S28,0.8956698365801865,1.0352528191376333,0.4076804646673777,0.3937979758480406,0.255,0.323,0.395,1000.0,800.0
S2,0.8071276890407164,0.9703426862033189,0.7371244849956896,0.7596537753892418,0.256,0.334,0.402,1000.0,800.0
S34,0.7845074323700489,1.0900308847108233,0.452873179073844,0.415468208677397,0.187,0.266,0.345,1000.0,800.0
S10,1.080971286123165,1.057570419296437,0.3440027107703825,0.3252764113799958,0.115,0.172,0.238,1000.0,800.0
S85,0.5580278829286308,0.9017509550481404,0.4577198499143837,0.5075900916455898,0.178,0.256,0.337,1000.0,800.0
S41,0.9628843135444557,1.0945968766683223,0.27817811056717173,0.2541374970974483,0.147,0.211,0.263,1000.0,800.0
S51,0.6504477887545009,0.9676989530843889,0.6298007223293218,0.6508229861383342,0.16,0.246,0.338,1000.0,800.0
S26,0.5451943495522112,0.9062625070509586,0.47576181530890754,0.5249713097555693,0.318,0.432,0.504,1000.0,800.0
S30,0.5592281414458499,0.8931336234848496,0.7001759574729189,0.7839543144070157,0.276,0.359,0.431,1000.0,800.0
S31,0.7097220939894746,0.9998322388827204,0.39115395181177787,0.3912195832461649,0.232,0.328,0.392,1000.0,800.0
S68,0.503185301449543,0.878430800321655,0.8484107744154575,0.9658253946751355,0.19,0.278,0.365,1000.0,800.0
S84,0.498291939802419,0.8637018194241516,0.3915291636012729,0.45331520068154274,0.136,0.225,0.305,1000.0,800.0
S46,1.1368294709629767,1.1344489003273222,0.3861590566669003,0.34039352196073525,0.108,0.171,0.225,1000.0,800.0
Intercept,,,-2.7333457580501235,-8.658939249513642,,,,,
