selection_stage,domain,item,rank_importance,item_count
domain anchor,Somatization,S56,0.5391371493645196,15
domain anchor,Obsessive-compulsive,S28,0.5507045211748051,15
domain anchor,Interpersonal sensitivity,S69,0.5627955237750479,15
domain anchor,Depression,S30,0.6097262327036796,15
domain anchor,Anxiety,S57,0.5844686412776252,15
domain anchor,Hostility,S11,0.5337598233820814,15
domain anchor,Phobic anxiety,S50,0.5488160339281417,15
domain anchor,Paranoid ideation,S18,0.530661898731395,15
domain anchor,Psychoticism,S62,0.5408215659006459,15
domain anchor,Additional items,S59,0.488749812377045,15
ranked fill,Depression,S31,0.6049200990470142,15
ranked fill,Depression,S71,0.6020623264043798,15
ranked fill,Depression,S79,0.5867403343468718,15
ranked fill,Depression,S26,0.5867225311766825,15
ranked fill,Anxiety,S78,0.5603457251047489,15
domain anchor,Somatization,S56,0.5391371493645196,20
domain anchor,Obsessive-compulsive,S28,0.5507045211748051,20
domain anchor,Interpersonal sensitivity,S69,0.5627955237750479,20
domain anchor,Depression,S30,0.6097262327036796,20
domain anchor,Anxiety,S57,0.5844686412776252,20
domain anchor,Hostility,S11,0.5337598233820814,20
domain anchor,Phobic anxiety,S50,0.5488160339281417,20
domain anchor,Paranoid ideation,S18,0.530661898731395,20
domain anchor,Psychoticism,S62,0.5408215659006459,20
domain anchor,Additional items,S59,0.488749812377045,20
ranked fill,Depression,S31,0.6049200990470142,20
ranked fill,Depression,S71,0.6020623264043798,20
ranked fill,Depression,S79,0.5867403343468718,20
ranked fill,Depression,S26,0.5867225311766825,20
ranked fill,Anxiety,S78,0.5603457251047489,20
ranked fill,Interpersonal sensitivity,S34,0.5493855911747345,20
ranked fill,Anxiety,S2,0.5481918306187596,20
ranked fill,Depression,S54,0.546415965751953,20
ranked fill,Anxiety,S80,0.5423926118423246,20
ranked fill,Interpersonal sensitivity,S41,0.5423450139486633,20
